Season,Date,Nitrosomonadaceae_Ga0191921,Nitrosomonadaceae_Ga0191945,Nitrosomonadaceae_Ga0191958,Nitrotoga_Ga0191879,Nitrotoga_Ga0191163,Nitrotoga_Ga0191928,Nitrotoga_Ga0191027,Nitrotoga_Ga0191125
Summer,2008-06-26,2.0836762,4.826985,2.99468874,5.4865863,1.6069789,5.8583353,2.2109453,2.4190398
Summer,2008-07-09,0.0799293,5.718716,2.712864,0.94714456,0.04452654,2.36685421,0.92301326,2.22094391
Summer,2008-07-18,0.321175,3.01747,1.53869,0.576889,0.122113,1.428929,0.576889,1.428929
Summer,2008-07-19,0.1801339,3.02974,1.37573,0.46782,0.0410112,1.1469589,0.46782,1.1469589
Summer,2008-07-21,0.0712794,3.26517,1.7917,0.496827,0.128945,1.20187,0.496827,1.20187
Summer,2008-07-23,0.1821498,3.37431,1.68948,0.67773,0.049846,1.63949,0.67773,1.63949
Summer,2008-07-30,0.7694339,2.50201572,1.7707025,0.85072092,0.25464103,0.9589798,0.48095512,0.6881274
Summer,2008-08-05,1.1321479,2.8956485,2.0149046,0.8165133,0.1576852,1.3120999,0.5128407,1.1648157
Summer,2008-08-13,0.200056,2.9488,1.52217,0.556673,0.182352,1.34664,0.556673,1.34664
Summer,2008-08-20,0.114715,3.20386,1.64688,0.567016,0.0588915,1.3546,0.567016,1.37166
Summer,2008-08-27,0.5561077,4.36297,2.25835,0.7864121,0.0232871,1.906085,0.7864121,1.87001
Summer,2008-09-12,0.224558,4.7989,2.3348445,0.774435,0.312074,1.87342,0.774435,1.87342
Summer,2008-09-13,0.1355457,3.00552,1.48603,0.5641911,0.0934448,1.399678,0.5461752,1.29125
Fall,2008-09-25,0.107894,4.05794,2.05912,0.65098,0.251443,1.615292,0.65098,1.615292
Fall,2008-10-08,0.1839448,4.0490231,2.25504231,0.79201261,0.13336889,1.9539929,0.79201261,1.8666513
Fall,2008-10-17,0.1833343,3.83446,1.99702,0.7869892,0.2251882,1.8650056,0.767242,1.8650056
Spring,2009-04-22,11.0904114,15.1639225,13.2052688,4.82707536,1.6160289,7.87347794,2.86657645,5.21412994
Spring,2009-04-29,6.7209826,18.00016205,12.9621938,3.94483778,1.30005583,7.0490657,2.91723855,6.4067061
Spring,2009-06-09,7.9372384,12.7441289,7.6609556,2.30318407,0.6718915,5.41133472,2.19166007,5.21375492
Spring,2009-06-18,11.5818003,11.1585913,10.6641835,1.6316491,0.4331715,3.8781703,1.6027542,3.6878083
Summer,2009-06-26,31.655556,17.1057633,28.0988206,2.0887756,0.2727569,4.01316726,1.67233,3.51475956
Summer,2009-07-07,6.1700071,9.0928486,8.21759429,1.77508207,0.25107718,3.2303576,1.51965777,2.9973178
Summer,2009-07-30,3.2516707,11.7446145,7.10176812,2.5453384,0.5919016,5.10685804,2.0728038,5.0326611
Summer,2009-08-10,0.9667924,6.54169,3.2954804,0.98988717,0.32461349,2.2614609,0.93409107,2.253464
Summer,2009-08-26,1.1609946,7.7358116,3.6224515,1.3026123,0.274538,3.11395,1.3026123,3.11395
Summer,2009-09-13,0.4900236,8.01012,4.13998,1.87612985,0.4372622,4.2647961,1.76227095,4.227343
Summer,2009-09-14,0.0840874,3.6824,1.85033,0.667293,0.090358,1.6336056,0.667293,1.6336056
Fall,2009-09-27,0.253117,3.52483,1.75779,0.62329,0.237779,1.50779,0.62329,1.50779
Fall,2009-10-07,4.0593975,26.1352025,14.4317514,6.93259248,0.4924531,16.9404459,6.90546668,16.8578613
Fall,2009-10-26,2.13174986,8.6281282,5.6823858,1.9454491,0.6072724,4.0594591,1.5954461,3.4998025
Fall,2009-11-14,4.9729511,8.3913842,6.10611594,1.72846394,0.53835048,3.7554465,1.30953634,2.6586052
Spring,2010-04-20,2.112302,8.799828,3.8947699,1.24510663,0.8856823,2.8512359,1.18146733,2.8137241
Spring,2010-04-20,0,3,1.35424,0.44301537,0.24625691,0.9704788,0.40792167,0.934038
Spring,2010-05-05,5.2910654,8.2373773,4.0616479,1.42910678,0.215069,3.5096928,1.42910678,3.457359
Spring,2010-05-18,0.204584,2.02636,1.02745,0.4285959,0.1950028,0.9346192,0.41058,0.9346192
Spring,2010-05-20,7.5559669,6.7645595,3.16745506,1.2822129,0.177925,3.1120995,1.2822129,2.87422
Spring,2010-06-02,0.1625166,5.76609,3.0436304,1.035865,0.295612,2.4705739,1.01335,2.45138
Summer,2010-06-13,6.14696,3.0388849,1.7145819,0.451178,0.0288684,1.09144,0.451178,1.09144
Summer,2010-06-15,3.9046629,13.221084,6.72847395,2.2481115,0.581024,5.4646531,2.2481115,5.4283376
Summer,2010-06-15,0.993138,3.8012525,2.17166,0.655305,0.138087,1.6044722,0.655305,1.58103
Summer,2010-06-21,0.3413495,4.2183753,2.21738869,0.8025455,0.0320439,1.93381,0.8025455,1.93381
Summer,2010-07-06,0.1406953,3.6777842,1.8610721,0.69113372,0.1391329,1.6288928,0.66046932,1.5331671
Summer,2010-07-15,0.7528627,5.0957545,2.8539932,0.792487,0.1028713,1.91709,0.792487,1.91709
