taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size   * assembled	Gene Count   * assembled
2671180128	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas eutropha Nm56	DOE Joint Genome Institute (JGI)	2671180128	2519946	2464
2734482835	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira multiformis Nl2	DOE Joint Genome Institute (JGI)	2734482835	3230330	3050
2671180129	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas eutropha Nm14	DOE Joint Genome Institute (JGI)	2671180129	2534538	2437
637000195	Bacteria	Finished	Nitrosomonas europaea	Nitrosomonas europaea ATCC 19718	DOE Joint Genome Institute (JGI)	637000195	2812094	2630
2675903035	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas sp. Nm166	DOE Joint Genome Institute (JGI)	2675903035	3205138	3085
2721756095	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosovibrio sp. Nv4	DOE Joint Genome Institute (JGI)	2721756095	3269560	3153
2671180135	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas marina Nm71	DOE Joint Genome Institute (JGI)	2671180135	3489905	3219
2671180134	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas europaea Nm50	DOE Joint Genome Institute (JGI)	2671180134	2760276	2672
2747842411	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira multiformis Nl8 (v3)	DOE Joint Genome Institute (JGI)	2747842411	3310759	3184
2671180070	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira briensis Nsp10	DOE Joint Genome Institute (JGI)	2671180070	3059497	2884
2671180071	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosovibrio tenuis Nv1	DOE Joint Genome Institute (JGI)	2671180071	3098034	2921
2671180137	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosomonas aestuarii Nm69	DOE Joint Genome Institute (JGI)	2671180137	3994034	3820
2671180075	Bacteria	Permanent Draft	"Active sludge and wastewater microbial communities from Klosterneuburg, Austria"	Nitrosospira sp. Nsp13	DOE Joint Genome Institute (JGI)	2671180075	3621160	3392
2585428181	Bacteria	Finished	"Genome Sequencing of Nitrosomonas cryotolerans and Nitrosospira briensis, missing pieces for comparative phylogenomics of ammonia-oxidizing bacteria"	Nitrosospira briensis C-128	DOE Joint Genome Institute (JGI)	2585428181	3210113	3073
